"Time differences (ps)"	"Counts per bin"
-150000	59
-149900	48
-149800	48
-149700	69
-149600	50
-149500	56
-149400	42
-149300	58
-149200	47
-149100	67
-149000	44
-148900	52
-148800	52
-148700	44
-148600	47
-148500	51
-148400	55
-148300	53
-148200	44
-148100	45
-148000	55
-147900	66
-147800	47
-147700	48
-147600	45
-147500	55
-147400	44
-147300	47
-147200	50
-147100	51
-147000	55
-146900	54
-146800	51
-146700	45
-146600	48
-146500	53
-146400	57
-146300	59
-146200	49
-146100	48
-146000	47
-145900	51
-145800	44
-145700	49
-145600	51
-145500	62
-145400	52
-145300	74
-145200	62
-145100	49
-145000	50
-144900	53
-144800	44
-144700	52
-144600	40
-144500	59
-144400	54
-144300	59
-144200	69
-144100	42
-144000	47
-143900	51
-143800	49
-143700	46
-143600	56
-143500	56
-143400	59
-143300	53
-143200	47
-143100	57
-143000	43
-142900	47
-142800	60
-142700	53
-142600	60
-142500	40
-142400	43
-142300	49
-142200	60
-142100	66
-142000	60
-141900	55
-141800	45
-141700	53
-141600	63
-141500	36
-141400	59
-141300	64
-141200	63
-141100	55
-141000	56
-140900	45
-140800	53
-140700	32
-140600	50
-140500	43
-140400	66
-140300	48
-140200	44
-140100	52
-140000	52
-139900	38
-139800	44
-139700	53
-139600	48
-139500	55
-139400	58
-139300	50
-139200	59
-139100	45
-139000	45
-138900	51
-138800	53
-138700	64
-138600	57
-138500	53
-138400	48
-138300	45
-138200	47
-138100	52
-138000	60
-137900	53
-137800	58
-137700	53
-137600	54
-137500	66
-137400	47
-137300	46
-137200	51
-137100	67
-137000	57
-136900	58
-136800	50
-136700	48
-136600	49
-136500	49
-136400	55
-136300	47
-136200	43
-136100	54
-136000	51
-135900	56
-135800	44
-135700	52
-135600	53
-135500	55
-135400	48
-135300	57
-135200	42
-135100	60
-135000	56
-134900	61
-134800	67
-134700	60
-134600	52
-134500	53
-134400	67
-134300	44
-134200	53
-134100	68
-134000	56
-133900	61
-133800	44
-133700	50
-133600	54
-133500	52
-133400	49
-133300	45
-133200	52
-133100	53
-133000	52
-132900	50
-132800	50
-132700	57
-132600	47
-132500	65
-132400	60
-132300	47
-132200	59
-132100	65
-132000	56
-131900	48
-131800	52
-131700	57
-131600	54
-131500	50
-131400	59
-131300	40
-131200	55
-131100	49
-131000	58
-130900	47
-130800	51
-130700	60
-130600	59
-130500	50
-130400	65
-130300	60
-130200	52
-130100	52
-130000	37
-129900	54
-129800	58
-129700	51
-129600	49
-129500	58
-129400	46
-129300	54
-129200	52
-129100	55
-129000	52
-128900	65
-128800	56
-128700	55
-128600	56
-128500	47
-128400	59
-128300	64
-128200	52
-128100	56
-128000	62
-127900	52
-127800	41
-127700	52
-127600	53
-127500	50
-127400	77
-127300	52
-127200	49
-127100	63
-127000	45
-126900	65
-126800	51
-126700	46
-126600	43
-126500	54
-126400	64
-126300	45
-126200	51
-126100	54
-126000	43
-125900	53
-125800	53
-125700	57
-125600	55
-125500	63
-125400	51
-125300	49
-125200	58
-125100	52
-125000	58
-124900	49
-124800	53
-124700	51
-124600	66
-124500	47
-124400	54
-124300	49
-124200	50
-124100	46
-124000	51
-123900	49
-123800	49
-123700	55
-123600	59
-123500	48
-123400	52
-123300	54
-123200	52
-123100	55
-123000	60
-122900	51
-122800	58
-122700	55
-122600	56
-122500	52
-122400	66
-122300	43
-122200	55
-122100	49
-122000	69
-121900	44
-121800	49
-121700	42
-121600	54
-121500	52
-121400	40
-121300	52
-121200	53
-121100	62
-121000	53
-120900	55
-120800	56
-120700	65
-120600	47
-120500	57
-120400	44
-120300	53
-120200	39
-120100	50
-120000	55
